FStech & BioScan 
qua., 7 de mai. de 2025

0:43 - felipe silva Fala aí, Marcelo. Boa tarde. Fala aí.
4:57 - felipe silva Lembrando que a gente vai ter também lá no nosso back-end, a gente vai ter lá no banco de dados a planilha do nosso amigo, que vai ser como o principal referencial para as respostas da LLM para o usuário. Então ele vai mandar o exame, a LLM, o primeiro passo da IA vai ser, na verdade, buscar dentro da planilha todas as referências que estão ligadas ou que existem, na verdade, existem no PDF do exame, vai dar o match disso, vai combinar essas duas coisas e aí vai trazer as respostas baseado nesse match. Foi o que eu entendi, que a gente vai ter a planilha, Essa planilha vai fazer parte do nosso back-end, vai estar lá no nosso banco de dados. O usuário vai subir o exame via PDF. O exame tem uma série de itens, uma série de tópicos. Uma das funções da LLM vai ser justamente casar os exames que tem no PDF com aquilo que tem na planilha. Casar essas informações e trazer as respostas mediante a interação que o usuário vai ter com o chatbot, no caso, com o assistente.

6:12 - Marcelo Nissenbaum Deixa eu fazer, então, só um adendo. Quando fizeram esse beta teste lá, que o Lázaro falou que existem nesse evento em torno de mil profissionais, vamos dizer que a gente tem que pensar que ao mesmo tempo mil profissionais podem estar fazendo o acesso ali. Podem não. Provavelmente vão fazer com acessos bem aproximados ali no momento. E não só isso. O Lázaro sabe que, vamos dizer, ele tem 50 exames ou 60 exames e pode ser que venha A gente também vai ler outros exames, só não vai fazer a correspondência com a exatidão que está no banco, que são os exames do Lázaro, correto? Mas vai fazer a leitura geral, não é isso?

6:51 - felipe silva Vai fazer a leitura geral porque a gente já vai ter a planilha upada, né? A gente vai ter a planilha já fazendo parte do banco de dados.

6:59 - Marcelo Nissenbaum Não, sim, mas o que eu quero dizer é que a planilha, ela é limitada, ela é uma planilha de 50 exames, mesmo que o Lázaro aumente para 100, ele não eu pegaria, por exemplo, de repente, um exame específico para Alzheimer, por exemplo.

7:13 - felipe silva Estou dando um chute aqui. Sim, aí precisaria, de repente, de se pensar a questão de regra de negócio das funcionalidades da aplicação, entendeu? A gente pode deixar a LLM funcionando, como foi o caso da demonstração que eu fiz ontem para vocês, a gente cria uma persona para ela, para ela ter a capacidade de responder sobre esses exames independente pode ser o exame vai ter vai ter a sua correspondência na planilha do Lázaro ou não.

7:42 - AP É isso aí e na verdade é isso tá. Eu esperei o Marcelo terminar mas assim só para a gente dar um exemplo prático imagina que eu peguei meu PDF eu fiz lá um exame que tem 200 tipos de exame lá dentro tá um arquivo gigante vamos pegar um grandão aí 200 exames na hora que a gente fizer o para aquele meu usuário, vamos chamar lá Altamira, o CPF tal, tal, tal. E, claro, vai ser num array, num vetor, em coluna, tanto faz, mas é. Aqueles 200 itens vão ter que ser armazenados. Depois daqueles 200 tipos de exame dentro daquele PDF, eu vou fazer um match com a planilha do Lázaro. Porque, às vezes, eu posso ter um PDF que eu tenho 200 exames e só vai dar match 30 e o dele tem 50. E eu posso ter um PDF com menos exames, tipo 70, e dar o match nos 50. Então sempre vai ser a ideia. A gente vai ter que sempre pensar que a gente tem que ler ele todo, tudo que está ali, armazenar. E depois a gente faz esse match, porque esse match depois eu posso fazer até via banco, via query, qualquer coisa. Ou seja, imagina que eu vou ter uma tabela de usuário, uma tabela de exame usuário, Enfim, e que vão ter todas essas colunas e depois a gente vai ter como se fosse um deparo. Por exemplo, na primeira do lado vai ter lá o exame HDL, vai ser o código 43 e a sigla HDL. Na hora que armazenar, a gente vai armazenar como se fosse o HDL, depois eu posso fazer o relacionamento e dizer, beleza, eu achei o HDL nesse exame que esse cara colocou aqui e eu trago a referência lá do lado. Ou seja, no HDL ele vai trazer, se o cara for masculino e a idade for tão, tanto, então ele vai ter lá uma descrição de coisas que ele indica, que ele sugere. Então, basicamente, é isso. Então, em teoria, a planilha do Lázaro vai ser carregada numa tabela específica, que vai ser a nossa inteligência, vamos chamar assim, e depois eu vou fazendo o match com os dados que a gente carregar via LLM. Então, basicamente, seria isso. E aí, os principais campos, quando a gente for armazenar os dados usuários, sempre vai ser o CPF dele, que vamos dizer que seria Porque, por exemplo, eu posso carregar um exame agora nessa data e daqui a seis meses eu fazer. O cara, sei lá, um cara...

10:05 - Marcelo Nissenbaum Data é muito bom e horário também é bom. Se todos os exames obrigatoriamente tem horário, também acho que é legal, que é mais uma codificação interessante.

10:14 - AP Mais uma forma de garantir que o acesso vai ser feito só ali pela pessoa.

10:19 - AP É, porque o cara, na verdade, vai ter o dado do exame dele, que vai ter os principais campos. Idade dele e o sexo, porque tudo é baseado na referência, valores de referência e as coisas do lado, tudo é baseado na idade da pessoa e no sexo, então esses são os campos mais importantes. E além da data do exame, a gente vai ter a data do upload, porque por exemplo, durante um ano o cara pode subir três vezes, por exemplo, quatro vezes que o médico falou, cada três meses eu quero que você faça esses exames e ele vai subir lá exatamente para fazer essa verificação. Por exemplo, ele subiu, diminuiu, enfim, ele consegue fazer toda essa análise, já que a informação está armazenada. Então, depois de estar armazenada, a gente entra com a Analytics lá para fazer qualquer informação que a gente queira. E, principalmente, o Mesh com o Lázaro. Perfeito. Perfeito, é isso afelipei está claro, Filipe? Beleza, não é? Claríssimo. Perfeito. Aí, depois, eu vi aqui na implementação, lá das informações, beleza. Normalização dos dados, sistema de mapeamento, que é exatamente o que a gente está falando, as nomenclaturas de exames. Aí, uma pergunta. Essas nomenclaturas de exames, a gente, em teoria, a gente precisa depois lhe passar, né? Sim. Porque a gente tem muitos exames. E aí, uma pergunta que eu queria te fazer é o seguinte. Por exemplo, imagina que a gente pegou aquele PDF lá, um daqueles que eu te mandei ontem. Uma pergunta. Eu tenho lá uma HDL, não sei se esse exame, talvez o Marcelo até responda melhor, mas imagina assim, eu peguei uma HDL, aí lá no valor de referência ele geralmente vem assim, masculino até 18 anos, aí depois, de 18 a tantos anos para masculino, geralmente ele pode vir por faixa de idade, às vezes é por mês, às vezes ele mescla mês e ano e sexo, Então, assim, tem muitas mesclagens. Da forma que você está lendo, a gente consegue armazenar isso realmente em cada coluna? Sim.

12:25 - Palestrante Não Identificado Consegue, né?

12:26 - AP Consegue. Deixa eu até tentar pegar um exemplo aqui que fica até mais fácil para você entender. Porque, cara, isso é muito detalhe e isso é uma das coisas que a gente bateu muita cabeça lá quando estava fazendo. Então, deixa compartilhado.

12:46 - felipe silva Por que você não precisa se preocupar tanto? Porque a LLM, ela vai tratar cada exame de maneira individual, independente dos dados que a gente tem armazenado. Ela sempre vai buscar, através de semântica, associar a informação que tem no PDF com todos os referenciais relacionados, que existem dentro do banco vetorial.

13:14 - Marcelo Nissenbaum Então, deixa eu ratificar um negócio aqui. Muito importante seria que o peso da planilha do LASO para esses 50 exames, eu diria que de zero a um, poderia ser um. Porque a gente quer que seja estritamente a inteligência da planilha do LASO para esses exames. O resto pode extrabolar. Pular, quer dizer, o mínimo possível dentro, obviamente, do que a gente está construindo. E eu acho que o Miro também ainda vai falar, só vou comentar, só um minuto, pode ser que o Nicolay já esteja no radar dele, ele vai falar depois da evolução do sistema, não é isso, Miro? Depois do MVP.

14:00 - felipe silva Beleza, então vou deixar para o Miro, não vou nem cortar mais, vamos lá. Estou vendo sua tela, Miro.

14:07 - AP Beleza. Desculpa que eu tava um tempinho que arrumei aqui para fazer um lanche, mas vamos lá. Deixa eu só...

14:14 - Marcelo Nissenbaum Aqui, ó. Caraca, horrível demais. Seguinte.

14:17 - AP Esse exemplo que eu tô dando, Marcelo, é isso aqui.

14:20 - Palestrante Não Identificado Desculpa, Felipe.

14:21 - AP Tô vendo. A gente pega aqui o LDLC, ele é um tipo de exame. Então provavelmente a gente vai ter esse tipo de exame. Vamos chamar que a gente tem uma tabela de tipo de exame, tá?

14:35 - Palestrante Não Identificado Então vai ter a tabela do Lázaro.

14:38 - AP Na verdade vai ter a tabela do Lázaro, isso, exatamente. Mas aí penso o seguinte, imagina que eu preciso, imagina que o Altamiro, esse aqui é o meu exame. Aí imagina que aqui eu vou ter uma coluna chamada esse exame, certo? Já que ele é vetorial, estou imaginando isso. Certo.

14:57 - Palestrante Não Identificado Eu vou ter lá o LDLC.

14:59 - AP Sendo que esse LDLC, aí ele vem com os valores valores de referência, que para a gente também é muito importante, por quê? Aqui, ele fala categoria de risco. Esse tipo de exame para o baixo, categoria baixo, com jejum e sem jejum, tá vendo? Então, esse tipo de exame, ele já abrange mais três colunas e ele vai trazer os valores de referência. Certo.

15:20 - Palestrante Não Identificado Entendeu?

15:21 - AP Então, é isso que eu estava falando, que a gente tem que garantir que a gente consiga pegar tudo. Porque, por exemplo, deixa eu ver se eu acho outro aqui. Esse aqui Não, esse aqui, ferro, esse aqui é o valor do...

15:35 - Marcelo Nissenbaum É, mas foi o que eu entendi, Miro. Ele pega.

15:39 - AP Ele pega pela semântica, cara. Não tem como. Entendi, tá. Ele consegue pegar tudo isso aqui, né?

15:45 - felipe silva Sim, e vai depender muito também da maneira como a requisição vai ser feita pra gente. A gente não tá falando de uma automação, a gente tá falando de um uso, um assistente com IA, que vai conversar com o usuário como se fosse ali uma pessoa atendendo. Então, o cara que vai fazer a pergunta, quanto mais específico ele for em relação à informação que ele quer, é o que vai fazer a diferença se vai trazer a informação ou não.

16:17 - AP Então, mas esse é um detalhe.

16:19 - AP A gente, apesar de você ter mostrado isso, a gente não vai usar isso, tá? Exatamente, o usuário não vai interagir perguntando, ah, esse meu exame aqui ferro 87 é um bom? Apesar de ele trazer aqui o valor de referência, a gente não vai perguntar isso, nunca vai acontecer isso, tá? Na verdade, a gente vai querer armazenar esse 87.

16:43 - AP Pode ser que no futuro, com a evolução do sistema, muito refinado, a gente libere isso, porque a gente vai ter uma tendência ao limite zero de erro.

16:55 - Palestrante Não Identificado Exatamente, porque qual é a ideia, Felipe?

16:57 - AP Imagina o seguinte, fiz o piloto do arquivo, o meu Altamiro, beleza? Vai estar lá registrado lá meu nome, a data de nascimento, minha idade, tal, tal, sexo, beleza. Aí na hora que eu for, na hora que eu importar o PDF, aí o LLM vai ler a porra toda aqui, pum, armazenou. Quando eu verificar qual é o ferro que veio no meu exame, ele tem que trazer 87. Qual é o valor de referência dele? Tanto a tanto, é isso aqui, de tanto a tanto ao total, entendeu?

17:25 - Palestrante Não Identificado Entendi, só que como essa chamada vai ser feita?

17:27 - AP Ela não vai ser feita, ela vai estar armazenada a informação.

17:31 - felipe silva Tudo bem, mas aí o usuário vai querer ter acesso a essa informação, correto?

17:35 - AP Exato, mas aí eu vou ter uma tela pra ele, né?

17:38 - felipe silva Ah, então você vai ter uma tela específica com as perguntas já estipuladas.

17:41 - AP Isso aí, na verdade eu vou conseguir, porque quando ele vai fazer o importe do PDF, eu posso, por exemplo, na planilha do LASA, pensa assim, imagina que que importei, aquele exemplo que eu dei no início. Importei 200 exames, beleza? Nesse meu PDF aqui, ele conseguiu ler todos os 200, armazenou todos esses valores de referência, armazenou tudo. Porém, esse meu PDF, ele só encontrou 30 lá da planilha do Lázaro. O resumo que a gente vai dar para o usuário são esses 30 exames. Mas a informação vai estar armazenada, entendeu?

18:11 - felipe silva Vai estar armazenada. A minha pergunta para você agora, com que você levantou, é de que maneira vai interagir com a aplicação. Porque até agora a minha visão era a seguinte, ele vai fazer o upload do arquivo, ele vai fazer o upload do PDF, vai acontecer todo o processamento e depois ele vai interagir com a aplicação para obter as informações.

18:36 - Marcelo Nissenbaum A gente entendeu e a gente viu, mas o que acontece? Como existe uma possibilidade de alucinação, existe também uma outra coisa interessante, que a gente ainda não vai conseguir fazer nesse momento, é a curar-se a 100%. Ele não vai estar 100%.

18:55 - Palestrante Não Identificado Entendi.

18:55 - Palestrante Não Identificado Tudo bem.

18:56 - felipe silva Mas a minha pergunta persiste. Ela continua. Como que a interação vai acontecer, então? A gente vai...

19:05 - AP Vai ser uma tela. Vai ser exatamente isso. Ele não vai interagir perguntando nada do exame. Porque qual é a ideia dele? Ele como é um cara atleta e a especialização do Lázaro é exatamente essa. Quando o Lázaro verificar por exemplo o ferro armazenado em 87 o Lázaro vai dar indicações baseado nesse valor dele aqui e não necessariamente vai ser essa referência porque essa referência vem do laboratório mas a especialização do Lázaro ele pode indicar uma referência inclusive diferente dessa aqui e aí vai dizer olha a indicação para isso aqui relacionado com outro exame que deu XPTO, o indicado pra você é isso, isso e isso. Então, o que interessa pra gente é o feedback que eu vou dar pro usuário relacionado aos exames dele é baseado no LASER, não é baseado em pergunta pra IA, sacou? Saquei.

19:57 - Marcelo Nissenbaum Por isso que eu disse que é de 0 a 1 na variação da IA. Tem que ser 1.

20:03 - AP É, 1. É isso aí, sacou, Felipe? Por isso que isso pra gente é muito importante, cada detalhe desse. Porque isso no Lázaro ele também vai estar detalhado, então ele pode dizer a leitura porque é como se fosse assim, eu vou ter um valor realizado do exame dele, que no meu caso é esse aqui que deu isso, e eu tenho o valor referência lá.

20:24 - felipe silva Isso, o laboratório da 1X e o Lázaro Y. E a diferença é muito grande, não é algo padronizado? Não, não é muito grande não.

20:31 - AP Não, não é muito grande não, mas é porque o mais importante na verdade pra gente é que esse valor de referência a gente pode utilizar. Por isso que a gente precisa armazenar. Mas o principal para a gente é isso porque às vezes o do lazer ele pode ter uma indicação o ferro quando chegar no parâmetro de tanto a tanto aí ele vai porque aqui ele fala que ele dá uma observação. O do lazer ele também vai dar uma observação mas ele vai dar uma observação voltada para aquela especialidade do cara que é um cara nesse exemplo que eu tô dando que é voltado para o atletismo.

21:06 - felipe silva No PDF é uma coisa mais generalizada. Isso aí. Na aplicação vai ser uma coisa mais específica para a pessoa que estiver usando. Aí a gente vai entrar numa outra questão. Por quê? Porque o usuário vai ter que fornecer informações pessoais dele. Não faz mal.

21:23 - Marcelo Nissenbaum Nesse momento o nego vai estar cagando, eu acho. E o nego vai estar fazendo beta-teste, vai enviar a porra do exame, vai querer ver o resultado. Cara, se a gente entrar nas seis Searas...

21:35 - felipe silva Não, tudo bem. A minha preocupação é a seguinte, como isso vai ser exposto aí para um número, sei lá, expressivo de pessoas, você falou de mil pessoas que vão usar uma aplicação na... Mas como você é um cara muito conceituado, ninguém vai se preocupar aí lá fora.

21:52 - Marcelo Nissenbaum Gente, não se preocupem, isso está lá no meu banco de dados.

21:57 - AP Não, mas olha só, outra coisa, mas em relação a informação como armazenagem, a gente pode criptografar, pode ter Tem N formas de a gente fazer isso.

22:06 - Marcelo Nissenbaum Isso, a gente pode falar com o Lázaro para ele fazer durante a palestra.

22:10 - AP Isso, mas assim... Uma nota sobre isso. É, mas vamos pensar no seguinte. O usuário, quando ele entrar no aplicativo, é o login dele. Então, imagina que quando ele abrir... Claro que na IDE para funcionamento de MVP. Não, o cara vai pegar lá. Se a gente conseguir pegar os dados aqui do nome do cara e tal, como está aqui no meu, a gente vai conseguir usar. Beleza, o cara nasceu dia tal, tem tantos anos, o sexo é esse aqui, que isso é o mais importante.

22:37 - Marcelo Nissenbaum Eu vou pensar numa coisa aqui de marketing aqui, galera.

22:40 - AP Não, Marcelo, calma aí, rapidinho, só para não perder a linha no raciocínio. Aí pensa o seguinte, isso para o MVP é beleza, agora imagina que depois isso está em um app, o cara vai ter o login dele, então quando ele logar no login dele, na tela de cadastro dele a gente pode pegar inclusive todos esses dados, porque depois eu nem preciso ler, é como se fosse assim, Se aquele usuário está fazendo um upload de um arquivo, eu vou subentender que aqueles dados são dele. Então eu já vou ter a idade dele armazenada na tabelinha, o nome dele, o login, tal, tal, masculino e assim por diante, entendeu? À medida que eu faço o upload disso aqui e armazeno todas as informações, eu vou ter lá. Vamos pensar em tabelas de exames. Aí vai ter lá. O cara fez o exame no dia XPTO. Esse PDF foi lido e armazenou 200 variáveis, 200 tipos de exame e cada um trazendo todas as subcategorias que tem para cada exame. Categoria, se é com genju ou não, às vezes vem, por exemplo, aqui mostrou só...

23:40 - felipe silva Vai pegar a informação do PDF inteiro, vai ficar lá armazenado, entendeu? Exatamente, pronto, perfeito.

23:46 - AP Esse é o principal, entendeu? Aí depois disso, já que a informação está armazenada, como é que seria essa tela, essa ideiazinha, uma tela de consulta para o usuário? Aí seria basicamente ler a informação daqui, fazer um relacionamento com a tabela do Lázaro.

24:02 - AP E trazer um resumo.

24:04 - AP Exatamente, resumo.

24:04 - AP Imagina assim, imagina que o ferro tem lá no do Lázaro. Aí vai vir lá o resumo, ferro, o resultado do cara, deu 87. Aqui a gente ao invés de aparecer a variação, que também já está armazenada, mas aqui se eu quiser eu posso até colocar variação desse laboratório, variação do Lázaro. E aí onde tem esse texto aqui, vai vir todo detalhamento do Lázaro, que a gente já tem armazenado também. Então basicamente é, na hora que eu for mostrar, pode ser um PDF desse como relatório, mostrando cada exame com detalhamento do Lázaro, ou pode ser numa tela. É, vai ser na tela, vai ser na tela. Isso, exato. Então assim, tanto faz. O importante é, eu tenho o dado do Lázaro armazenado, li tudo do PDF e armazenei tudo. E acabou, é isso. E depois eu faço o mesh. Ah, dos 200 achei 30, então vou exibir 30 coisas para ele. O que a gente falou, que o Marcelo também comentou no início, é que independente de a gente exibir os 30, a gente quer ter essas informações armazenadas. Por quê? Porque daqui a pouco o Lázaro fez uma especialidade e tal, gerou um estudo e falou, agora eu quero usar também o Fertina. A gente já vai ter a informação armazenada. Inclusive, eu posso dar isso para o usuário. Eu não já botei lá os três exames dele armazenados?

25:18 - Marcelo Nissenbaum É como se renderizaram lá dentro do sistema, ele olhasse novamente e refizesse toda a busca.

25:23 - felipe silva No caso, ele teria que muito provavelmente refazer o processo.

25:27 - Marcelo Nissenbaum Não faz mal, a gente fala para ele alguma atualização. Se você quiser, vamos dizer, a melhor otimização do teu relatório e ver o site no seu dashboard, faça um novo upload daquele teu PDF.

25:42 - felipe silva Ou deixar uma função dentro da aplicação de refresh. Isso.

25:46 - AP Não, mas não vai nem precisar disso, pessoal, porque pensa o seguinte, Fiz a leitura lá no dia 1º. Já vai estar no banco, né? É, já está no banco, pô.

25:57 - felipe silva Dia 1º de janeiro eu fiz um upload lá. Tudo bem, o PDF vai estar, mas a planilha... De qualquer forma, a planilha do... Isso.

26:05 - Marcelo Nissenbaum O Lázaro vai ter que... Vai ter que mandar uma referência do PDF e vai prestar atenção lá do Lázaro.

26:11 - AP É, exato.

26:12 - AP É tipo assim, no dia 1º lá de janeiro. Imagina o seguinte, o ferro fazia parte do Lázaro, beleza? E o ferritina não fazia. Aí eu fui lá e coloquei, aí mostrei lá na telinha de resumo os 30 exames do Lázaro para esse usuário, para o Altamiro. Aí mostrou lá o ferro 87 na telinha, aí trouxe todas as observações do Lázaro, ele meio que prescreve algumas coisas, tal, tal, beleza. Aí imagina que, cara, então ferritina agora a gente vai colocar. Incluiu esse campo, cara, na hora que eu ler aquele exame do dia 1º de janeiro, o ferritina vai estar, eu já vou apontar com o do Lázaro e acabou, entendeu? Não precisa reprocessar. Mas isso assim, esse detalhe é o que menos interessa, porque o importante é a informação estar armazenada. Depois a gente faz o mesh, que é claro, vai ter datas, enfim, esse detalhamento do dado em si, como for armazenar, se for o caso, depois a gente vai entrar em mais detalhes sobre isso, mas o importante é garantir que a gente vai ler a informação, entendeu, Felipe? Que aí você está falando que vai, que vai conseguir fazer Então, esse é o principal. Perfeito. Está claro? Está claro, não é? Claríssimo. Show. Aí, deixa eu ver alguma coisa aqui. A integração, beleza. Primeira versão web e tal. Esse desenvolvimento da interface Opera ou Pilot com setor de exame processado, funcionalidade via chat. Essa funcionalidade via chat... Não vai ter, não. Exatamente. Nesse momento, não precisa. Se, mais ou menos, já está construído, já deixa o comentário.

27:38 - felipe silva Eu acho que, assim, como a gente pensa nessa feed, no futuro, a gente pode deixar ela prontinha, só que simplesmente não expor ela. Exatamente.

27:46 - AP É um feature que a gente não vai usar. Ela pode estar implementada, só não vai estar em produção. Perfeito.

27:52 - felipe silva O que eu acho até melhor, inclusive, para a gente não ter trabalho lá na frente. Já faz tudo agora, já deixa a informação pronta. Isso aí.

27:59 - Marcelo Nissenbaum Isso aí, eu não sei quanto tempo você tem, não sei quanto o Miro tem, mas o Miro, na verdade, ele queria avançar um pouquinho, porque com o MVP dando certo, tudo certinho, a gente precisaria, vou adiantar rápido aqui, entender como que seria a construção de fato do negócio, porque seria fazer realmente uma aplicação robusta, entendeu? Deixa eu fazer uma pergunta que acho que vai ficar mais específica.

28:22 - AP Vamos pensar o seguinte, esse projeto aqui, Felipe, você desenhou muito bem o MVP, tudo funcionou perfeitamente, a gente estava batendo muita cabeça com isso, viu que o negócio funciona, o Marcelo até mandou, explicou um pouco a questão dos gastos, Então vai usar um banco e por enquanto não paga. Aí tem os serviços da nuvem pode ser qualquer nuvem Azure e AWS. Tanto faz aí. Isso não é o que importa nesse momento. Beleza. Aí o que é que eu estava falando. Galera para MVP. Show de bola a gente consegue ter agora se eu quiser ter realmente um app. Porque a ideia disso aqui é num app. Imagina o cara que é corredor lá. Cara ele vai vai ter a plataforma lá ele vai fazer todo o exame que ele fizer com o médico. Ele vai fazer um Opilogi tem que ser Então a ideia é muito, ou seja, basicamente vai ter um cadastro de usuário, a parte de exame ele consegue ver todo o detalhe.

29:15 - felipe silva E aí é toda a questão de escalar, o projeto vai escalar. Exatamente. Vai ficar à disposição aí para centenas de milhares de pessoas, entendeu? Então vai ter que se estudar toda essa parte de infraestrutura.

29:27 - AP E além da infraestrutura, porque na IDE web a gente vai fazer uma telinha que vai como se fosse assim, imagina uma tela principal, Eu tenho uma tela, uma caixa de texto que eu vou dar com um botãozinho para fazer um upload e tal. Para MVP é perfeito, mas para um app, da forma que a gente está idealizando, é um segundo passo, é um passo mais avançado e tudo mais. Aí a pergunta que eu queria te fazer é, você por acaso, você desenvolve app também?

29:57 - felipe silva Sim. Desenvolve. Claro, faz parte do...

29:59 - Palestrante Não Identificado Do scope de vocês aí.

30:01 - felipe silva Do scope da nossa empresa, sim. Perfeito. Sem dúvida. A gente tem desenvolvedores que utilizam ferramentas como o Flask, como... Tem toda a especialização em desenvolvimento, tanto para dispositivo iOS, como para dispositivo Android. Efeito.

30:19 - AP Tá. Aí, o que é que eu queria fazer uma sugestão aqui?

30:26 - Palestrante Não Identificado Flask, não.

30:27 - Palestrante Não Identificado Flutter, desculpa.

30:28 - AP Oi?

30:29 - AP Beleza. Aí, a minha sugestão, tá? Em relação a esses detalhes, depois vou fazer uma reunião com o Lázaro até para alinhar as coisas e tudo mais, falando do MVP, desse escopo aqui. E aí eu queria perguntar para você, se a gente fizer uma proposta, porque aí na verdade eu tenho que entrar desenhando um mockup de app da forma que a gente imagina, pensando em tudo, e vai entrar mais detalhes também da forma de armazenar esses dados, porque ali você mostrou como um teste, depois eu preciso entender um pouco melhor da parte do banking em si, vai ficar essa questão do armazenamento, mas é possível, se a gente desenhar um mockup de como a gente queria, com isso você conseguiria fazer uma proposta para a gente, baseado em tudo isso aqui que a gente está falando, mais um mockup do aplicativo, é uma forma que você consegue, você precisa de mais detalhes para o desenvolvimento de um app.

31:19 - felipe silva Eu acho que a gente vai precisar um pouquinho mais de detalhes, inclusive em termos de usabilidade desse MVP, porque entende uma coisa...

31:26 - Marcelo Nissenbaum Porque isso aí, vou dizer que, cara, apesar de eu não mas eu tenho uma visão ergonômica de interagir com as coisas de forma muito boa. Realmente, isso tem que ser algo, para mim, fantástico. Entendeu?

31:40 - felipe silva Até porque esse MVP vai servir como fundamento, ele vai servir como fundação para aquilo que a gente for elaborar e desenvolver para uma escala maior, entendeu? Deixa eu te fazer uma pergunta técnica agora.

31:56 - AP É isso. É rapidinho, Marcelo. E só para você entender, essa questão da escala não quer dizer que eu vou ter milhões de usuários processando, tá? Na verdade, é assim. A pessoa, depois que ele entra, que ele quer realmente fazer a parceria, ele vai ter um usuário cadastrado. Aquele cara, ele não vai ficar toda hora processando milhões de arquivos. Ele vai subir uma única vez, a gente vai processar, vai armazenar. E depois é só leitura do dado já armazenado.

32:19 - felipe silva Sim, a gente vai ter que pensar em toda a parte de arquitetura. Isso, exato. Às vezes vai usar microserviços, às vezes vai usar monolito, enfim. Toda uma parte de estudo de arquitetura mesmo, sabe? Mais profunda. Mas tendo como base e fundamento o que a gente já está construindo agora, entendeu? Isso, exato.

